1.0000000000E-03,5.0000000000E-01,1.7563600000E-05
2.0000000000E-03,5.0000000000E-01,3.5125400000E-05
5.0000000000E-03,5.0000000000E-01,8.7797900000E-05
7.0000000000E-03,5.0000000000E-01,1.2290800000E-04
1.0000000000E-02,5.0000000000E-01,1.7556400000E-04
2.0000000000E-02,5.0000000000E-01,3.5089700000E-04
5.0000000000E-02,5.0000000000E-01,8.7623400000E-04
7.0000000000E-02,5.0000000000E-01,1.2255940000E-03
1.0000000000E-01,5.0000000000E-01,1.7487360000E-03
2.0000000000E-01,5.0000000000E-01,3.4795760000E-03
5.0000000000E-01,5.0000000000E-01,8.6169440000E-03
7.0000000000E-01,5.0000000000E-01,1.1830056000E-02
1.0000000000E+00,5.0000000000E-01,1.6778212000E-02
2.0000000000E+00,5.0000000000E-01,3.2894776000E-02
5.0000000000E+00,5.0000000000E-01,7.1416638000E-02
7.0000000000E+00,5.0000000000E-01,9.6986785000E-02
1.0000000000E+01,5.0000000000E-01,1.1202973000E-01
